ID,title
00000001-0000-0000-0000-000000000001,Sedan
00000002-0000-0000-0000-000000000002,SUV
00000003-0000-0000-0000-000000000003,Electric
00000004-0000-0000-0000-000000000004,Hatchback
00000005-0000-0000-0000-000000000005,Coupe
00000006-0000-0000-0000-000000000006,Convertible
00000007-0000-0000-0000-000000000007,Minivan
00000008-0000-0000-0000-000000000008,Pickup
00000009-0000-0000-0000-000000000009,Wagon
0000000A-0000-0000-0000-00000000000A,Luxury
0000000B-0000-0000-0000-00000000000B,Sports
0000000C-0000-0000-0000-00000000000C,Hybrid
0000000D-0000-0000-0000-00000000000D,Offroad
